_id,owners_estimate,average_forever,median_forever,average_2weeks,median_2weeks,news_count,Release Date,Change Time,year,?Šæˆ²ID
6832ef0a0732f992b947d6da,10000,41,34,0,0,3,18-May-23,07/2023,0,2189740
6832ef0a0732f992b947d6db,10000,81,47,0,0,0,11-Mar-16,10/2017,1,443900
6832ef0a0732f992b947d6dc,10000,451,319,0,0,20,23-Dec-16,06/2024,8,528960
6832ef0a0732f992b947d6dd,10000,974,569,0,0,22,14-Jul-22,02/2024,2,1913730
6832ef0a0732f992b947d6de,75000,178,843,0,0,86,6-Feb-15,06/2024,9,321260
6832ef0a0732f992b947d6df,10000,259,188,0,0,1,24-Oct-16,11/2019,3,488300
6832ef0a0732f992b947d6e0,10000,78,287,0,0,2,13-Feb-22,05/2024,2,1864050
6832ef0a0732f992b947d6e1,10000,96,18,0,0,3,24-Oct-24,11/2024,0,3187630
6832ef0a0732f992b947d6e2,35000,0,0,0,0,1,18-Feb-21,07/2021,0,1530180
